意图	语料
酒店	没事，这个酒店的电话是多少，万一我想起什么问题可以打电话给它。
景点	嗯嗯，刚才没有找到附近的景点，这回你帮我找个不花钱的景点，我希望景点的评分是5分。
景点	青龙山旅游区觉得不错，它的附近有可以吃饭的地方吗，我是一个吃货，走到哪都先问问有啥好吃的吗。
景点	没事，那它的附近有可以住宿的地方吗，一个人出来旅游，不想太折腾，有的话就直接住下了。
景点	好吧，麻烦你帮我找个评分是5分的景点，我希望景点的票价是50-100元。
景点	嗯嗯，我还是很看重分数的，你推荐的这两个景点的分数都是满分5分吗？
景点	嗯嗯，那这两个景点中哪个的游玩的时长是2小时？
景点	好的，就它了，这个景点的附近有啥好的景点可以推荐的吗？
景点	太好了，这个景点的附近有啥好吃的地方吗，我只要一想到美食就流口水。
thank	哈哈，这回我可是有口福了，真的谢谢你了。
景点	您好，请给我推荐一家评分4.5分以上门票免费的景点游玩。
景点	请问这个景点的游玩时间是？
景点	景点的周边有哪些餐馆啊？
酒店	好的，请给我推荐一家评分4分以上最低价格在100-200元的酒店住宿。
酒店	这家酒店地址在哪啊？
酒店	酒店的周边有哪些景点啊？
酒店	请在格林豪泰酒店北京市首都机场第二店周边的景点里给我推荐一家门票免费的景点游玩。
景点	景点的周边有哪些酒店啊？
餐馆	我要去一家一饭堂(亮马桥路店)用餐，请告诉我餐馆有啥推荐菜？
餐馆	餐馆的周边有哪些酒店啊？
餐馆	请在一家一饭堂(亮马桥路店)周边的酒店里给我推荐一家有室内游泳池服务的酒店住宿。
酒店	酒店的地址是在哪啊？
酒店	酒店的周边有哪些餐馆啊？
thank	好的，谢谢你了。
酒店	你好，据说北京新国贸饭店环境各方面都是很不错的，那这个酒店是什么类型的呢？
酒店	嗯，那这个酒店在什么位置，我安排公司的客户去住宿。
餐馆	清楚了，住宿完毕，我还得请客户吃饭，帮我找一个人均消费是100-150元，评分是4.5分以上的餐馆。
餐馆	你是不是看错了？我说的是住宿完毕，我还得请客户吃饭，帮我找一个人均消费是100-150元，评分是4.5分以上的餐馆。
餐馆	王家渡火锅店(怀柔迎宾北路店)的附近有啥可以住宿的地方吗，用餐可能会用到很晚，因为还有事情要谈。
餐馆	好吧，那这个餐馆都什么推荐菜吗，我看看客户吃点什么比较好。
景点	之后请帮我找个景点票价是20元以下，评分是4分以上，我跟客户也就是出去随便溜达一下。
景点	回音壁的附近有可以住宿的地方吗，溜达累了就直接住下了，还有很多事没谈完。
出租	好的，从王家渡火锅店(怀柔迎宾北路店)到乘回音壁坐出租车的话，出租车的车型和车牌分别是什么？
thank	好的，谢谢你。
酒店	你好，我想带女朋友去一家评分4分以上，有国际长途电话和24小时热水服务的经济型酒店住宿，给我推荐一家吧。
酒店	这家就的电话是多少啊？
酒店	酒店的周边有哪些餐馆啊？
餐馆	我想找一家评分4.5分以上的餐馆用餐，给我推荐一家吧。
餐馆	餐馆的地址在哪啊？
景点	吃完饭我想找一个评分4.5分以上，可以游玩时间3天的景点游玩，给我推荐一个吧。
景点	这个景点门票价格是多少钱啊？
景点	景点的电话是多少啊？
餐馆	游玩结束后我想找一家评分5分，人均消费150-500元的餐馆用餐，给我推荐一家吧。
餐馆	这家餐馆有啥推荐菜啊？
餐馆	餐馆的营业时间是什么时候啊？
出租	请帮我呼叫一辆从锦江之星(北京广渠门店)到北京欢乐谷的出租车，告诉我车型和车牌。
thank	好的，谢谢你了。
景点	你好，你知道哪个景点是可以玩2小时，评分还能在4.5分以上的吗？
景点	行啊，他的周边还有别的景点吗？
酒店	那就得看我能不能走动了，玩的地方找到了，接下来我想去和颐酒店北京石景山万达广场店的酒店住，你可以帮我看看这个酒店的周边有什么景点吗？
酒店	是没有景点吧，哈哈，你在看一下这个酒店是否有公共区域提供wifi和残疾人设施服务呢？
地铁	好的，有网就好，接下来我想从紫竹院公园到和颐酒店北京石景山万达广场店去，地铁出到，我应该在哪里上下车呢？
thank	好的，我都记下来了，谢谢你的解答！
景点	请问，能玩3小时-4小时的景点里，有没有评分是5分的？
景点	爬山啊？那吃饭会不会不方便？周边有没有餐馆？
景点	那密云天门山门票贵不？
酒店	爬完山肯定很累了，推荐一个4分以上的高档酒店吧？
酒店	好啊，我喜欢性价比高的，快把详细地址发给我。
thank	收到，谢谢。
酒店	你好，我想去美家精品民宿公寓北京国贸店住宿。这家酒店的附近有哪些味道不错的餐馆啊？
酒店	没关系。那这家酒店的地址是什么啊？
餐馆	好的。休息好了就去吃饭。请帮我找一家人均消费是100-150元，评分是5分的餐馆。
餐馆	嗯呢。唐宫海鲜舫(新世纪店)这家餐馆的电话是什么啊？
餐馆	好的。这家餐馆附近有哪些口碑不错的酒店啊？
thank	好，非常感谢。
酒店	你好，我想找一个能提供无烟房的舒适型酒店，帮我推荐下吧，
酒店	维也纳国际酒店(北京广安门店)的价格是多少呢？
酒店	酒店的周边都有哪些餐馆呢？
餐馆	酒店的周边餐馆里有谁家能吃到金牌干炸丸子吗？
餐馆	麻烦您把老北平食府的电话和地址告诉我一下。
thank	谢谢。
餐馆	你好，我想请我朋友吃饭，他爱吃乳鸽，帮我找一家4.5分以上的餐馆。
餐馆	好，周边还有其它餐馆吗？我怕他对这家不满意，找几个备选的。
餐馆	恩，好的，吃完饭周边有酒店可以休息吗？
酒店	好的，还是你帮我推荐一家吧，要高档型的酒店。
酒店	行，地址在哪？
thank	好的，非常感谢。
餐馆	你好，能帮我找一家评分是4.5分以上，人均消费100-150元的餐馆吗？晚上家里人想聚餐。
餐馆	全聚德烤鸭店(清华园店)除了烤鸭还有什么好吃的吗？
景点	好的，明天大家想去鸡冠山玩，能帮我找一下电话吗？另外鸡冠山附近有酒店可以住宿吗？
酒店	那如果附近没有酒店的话，能帮我找一个5分的舒适型酒店吗？
酒店	那么这家酒店应该有24小时热水吧，有会议室吗？
酒店	时光漫步怀旧主题酒店(北京国贸劲松店)电话给我一下，酒店周边吃饭方便不？
酒店	那不行，附近吃饭不方便，再帮我重新找一个价格500-600元，评分4.5分以上，有桑拿的酒店吧。
酒店	北京海润艾丽华酒店及服务公寓是什么类型的酒店，把电话给我一下。
thank	好的，谢谢你哈。
景点	你好，我想和同学去游玩。请帮我推荐一个评分是5分，票价是20-50元的的景点，能玩1小时 - 2小时就可以。
景点	好的啊。钟鼓楼的附近有酒店吗？
酒店	好。游玩结束想去酒店休息。请帮我推荐一家评分是4.5分以上的高档型酒店。
酒店	嗯呢。这家酒店的价格是多少钱啊？
酒店	恩。这家酒店有室外游泳池和暖气吗？
餐馆	没关系的。休息好了就去吃饭。我想吃拆豆腐和老北京爆肚儿，请帮我推荐一家评分是4.5分以上，人均消费是50-100元的餐馆吧。
餐馆	可以的。田园居的电话和地址和我说下呗。
thank	好，非常感谢啊。
景点	你好，请帮我推荐一个游玩的时长是0.5小时 - 1小时并且评分是4.5分以上的景点，我留出来的玩的时间不长，想去一个好一点的景点。
景点	有哪个景点是门票在200元以上的么？
景点	那也好，那附近有什么别的景点？
酒店	好的，晚上朋友订了北京首都机场东海康得思酒店(原朗豪酒店)住宿，您能帮我查一下这个酒店是什么类型的么?
酒店	我还想要这家酒店的电话。
thank	多谢您了。
餐馆	我刚到这个地方，我要找个人均消费是50-100元的餐馆吃点东西，介绍一个呗？
餐馆	它什么时间营业？
餐馆	时间刚刚好，它的联系电话是多少号？
酒店	我要在北京广电国际酒店入住，你知道它是否提供吹风机？
酒店	那它有接机服务吗？
thank	打扰了，谢谢。
餐馆	在吗，你能帮我找一下肯德基(梨园店)的电话吗？我想去这里吃饭。
酒店	好的，谢谢，吃过饭了，我想找个酒店住，最好是评分在4分以上，最低消费在500-600元的。
酒店	听你这么说我就放心了，能把酒店的地址给我一下吗？
酒店	这我就能找到这家酒店了，还有我不喜欢吃酒店的饭菜，这家酒店周边有没有其它餐馆啊？
餐馆	哦，那我想去它周边的餐馆吃饭，你看看有没有人均消费为50-100元的，并有手工果子面包这道菜的饭店啊？
餐馆	啊，那我去金玖食府去吧，那他们有什么推荐菜吗？
餐馆	也不错，有我喜欢吃的菜，那它家的评价怎么样啊，网评几分啊？
餐馆	那不错了，能告诉我一下餐馆的详细地址吗？
景点	我记下了，吃的住的都安排好之后，我想到处走走，我想去一个可以玩1小时 - 2小时，评分为4分以上的景点，你能帮我找找吗？
景点	正好我也挺想去这个地方的，你能把它的具体地址给我吗？
景点	没问题，有地址就好办，在帮我查一下，这个景点周边有什么新店吗？
thank	好的，这下不怕玩的太晚没地方住了，谢谢你！
景点	你好，可以帮我找一个评分4.5分以上的景点吗？
景点	打算去北京植物园体验一番，这里电话你知道是多少吗？
酒店	游玩结束后，我得找个地方住，知道哪里有最低价格800-900元的酒店吗？
酒店	就去北京玛雅岛酒店住了，这个酒店让我想起了玛雅预言，酒店是否提供接站服务呢？
酒店	哦，没关系，那你帮我查一下该酒店的地址吧。
thank	收到，谢谢！
餐馆	您好，我想吃麻豆腐，帮我找一家评分5分，人均消费150-500元的餐馆。
餐馆	京味斋烤鸭店(劲松店)电话是多少，周边还有其他餐馆吗？
酒店	给我推荐一个经济型酒店，价格在100-200元的。
酒店	格林豪泰酒店北京市首都机场第二店提供洗衣服务和24小时热水吗？
酒店	格林豪泰酒店北京市首都机场第二店的地址在哪，周边有什么景点吗？
景点	想出去玩，给我推荐一个评分是5分，门票200元以上的景点。
景点	水立方嬉水乐园周边有酒店吗？
酒店	周边的酒店有北京亚奥国际酒店、锦江之星(北京奥体中心店)、北京国家会议中心大酒店。
thank	谢谢了。
酒店	你好，我出差需要住酒店。请帮我找一家评分是4分以上的高档型酒店。
酒店	好的。北京新侨诺富特饭店有接待外宾，公共区域和部分房间提供wifi的服务吗？
酒店	太好了。空闲时间出去逛逛，这家酒店的周边有哪些好玩的景点吗？
餐馆	好的。我特别想去铁木真烤肉自助城(西三旗店)吃饭。这家餐馆的周边有哪些酒店啊？吃的太晚就住下。
餐馆	好的。这家餐馆的推荐菜有哪些？过去直接点。
景点	好的。出差时间挺长的，周末我想去游玩下。请帮我找一家评分是5分的票价免费的景点，游玩的时长控制在3小时最好。
景点	好的啊。泰山皮影传习体验馆这个景点的电话是多少啊？
景点	嗯呢。这个景点的周边有什么好的酒店吗？如果累了就去休息下。
thank	嗯呢，谢谢啊。
酒店	你好，可以帮我找一个评分4.5分以上的酒店吗？
酒店	我选择去北京瑜舍，能帮我查一下这个酒店周边都有什么餐馆吗？
酒店	没关系，那这家酒店的酒店设施是否提供无烟房呢？
thank	太好了，真是太谢谢你了！
酒店	你好，可以帮我安排一个提供公共区域和部分房间提供wifi、叫醒服务，评分是4.5分以上的酒店吗？
酒店	我觉得北京王府半岛酒店更适合我，能帮我查一下它家周边多有什么餐馆吗？
餐馆	是的，我想去名叫桃源深处民俗餐厅的餐馆用餐，你知道这个餐馆的营业时间吗？
餐馆	好的，可以帮我查一下餐馆周边都有什么好玩的景点吗？
出租	还不错，我想呼叫从北京王府半岛酒店到桃源深处民俗餐厅的出租车，可以告诉我一下这个出租的车型和车牌吗？
thank	收到，谢谢！
酒店	你好，我要去7天连锁酒店(北京通州梨园临河里地铁站店)住宿，请告诉我这家酒店是什么类型？
酒店	酒店是否有暖气和SPA服务啊？
景点	好的，请给我推荐一个门票价格50-100元的，游玩时间2小时的景点游玩。
景点	这个景点的电话是多少啊？
景点	景点的地址在哪啊？
餐馆	好的，游玩结束后我想找家评分4.5分以上人均消费100-150元的餐馆吃饭，给推荐一家餐馆用餐吧。
餐馆	这家餐馆的电话是多少啊？
thank	好的，谢谢你了。
餐馆	你好，我想去一个评分是5分，人均消费是50-100元的餐馆吃饭，有什么合适的地方推荐吗？
餐馆	感觉眉州东坡(顺义店)很不错，就去这里吃，它家周边还有别的餐馆吗？
餐馆	不错啊，这家餐馆的推荐菜都有啥呀？
酒店	太好了，我最爱吃这个了，饭后我打算找一个提供行李寄存和叫醒服务，最低价格是600-700元，评分是4.5分以上的酒店住宿，能给推荐一个不？
酒店	好的，就去这里，你有它家的地址吗？
酒店	收到，它家周边有景点吗？
景点	好吧，一会你能给我推荐一个评分4分以上，票价200元以上的景点吗，我打算明天去游玩。
景点	好呀，这里的游玩时间是多久呀？
景点	好的，这个景点周边都有啥好吃的餐馆呀？
thank	太棒了，谢谢你！
餐馆	您好，我想找一个评分是4.5分以上，人均消费是50-100元的餐馆和妈妈一起吃饭。有好地方吗？
餐馆	它周边还有其它餐馆可选择吗？
餐馆	好的，这些餐馆中有没有做椰汁汤圆，评分是5分的餐馆呢？
餐馆	好，我去试试吧，它周边还有其它餐馆吗？
thank	谢谢！没有问题了，再见！
餐馆	你好，我想去餐馆天宫酒楼，请帮我查询下这家餐馆有啥推荐菜？
景点	吃完饭我想找一个能玩3天左右的景点，有推荐的吗？
景点	好，白河峡谷的电话是多少？附近有啥酒店吗？
酒店	没关系，那就帮我推荐一个价位在800-900元之间的酒店吧。
酒店	北京伯豪瑞廷酒店的电话是多少？周边有啥好吃的餐馆吗？
酒店	我还是想找一个能有叫醒服务的酒店，最好评分在4分以上，有推荐的吗？
酒店	北京亚奥国际酒店是啥类型的呢？酒店是怎么收费的？
thank	好的，谢谢。
酒店	你好，我想去酒店住宿。请帮我找一家提供洗衣服务和有健身房的舒适型酒店。
酒店	好的。北京东直门智选假日酒店的评分是几分啊？
酒店	嗯呢。这家酒店的电话是什么啊？
餐馆	好。休息好了想去吃饭。请帮我找一家有北冰洋汽水和酸辣瓜条的餐馆。
餐馆	嗯呢。面兑面(南锣鼓巷店)这家餐馆的人均消费是1000元以上的吗？
餐馆	嗯。这家餐馆的周边餐馆还有哪些啊？
餐馆	恩。这家餐馆的周边有啥好玩的景点？
景点	嗯。吃完饭想去游玩。请帮我找一个票价是150-200元的，评分是4.5分以上的景点。
景点	嗯呢。这两个景点的游玩时长哪个是1小时 - 2小时的吗？
景点	好的。司马台长城这个景点的电话帮我查一下。
景点	嗯嗯。这个景点的周边酒店都有哪些啊？
酒店	好的。游玩结束想去住宿。请帮我找一家最低价格是1000元以上的酒店。
酒店	嗯呢。北京北大博雅国际酒店有吹风机和接站服务吗？
酒店	嗯呢。这家酒店的类型是？
酒店	嗯呢。还有这家酒店的评分是几分？
thank	嗯嗯。谢谢啊。
酒店	您好，我想找一家高档型的酒店，价格在500-600元的，推荐一下吧。
酒店	就去瑞尔威连锁饭店(北京西客站店)吧，电话多少呢，我订个房间。
景点	记下了。明天是周末了想带孩子出去玩玩，求推荐一个票价是200元以上的、能玩1小时的景点。
景点	然后我们就在周边吃个饭吧，有什么餐馆吗？
餐馆	好的。后天就是宝贝的生日了，他喜欢吃鸡肉串，我想的一家鸡肉串做的好吃的，评分是4.5分以上的餐馆为他过生日，请帮我推荐一家。
餐馆	价格怎么样？我想找一家人均消费是500-1000元的，好一点的餐馆。
餐馆	比格比萨(西外店)的价格是多少？它周边还有什么餐馆吗，如果宝贝不喜欢就去周边其它餐馆再看看。
餐馆	行，我去试试吧，晚上宝贝想在周边酒店开个Parrt，再看看周边有什么酒店呢？
酒店	好的。这些酒店哪家是舒适型的呢？价位是多少？
酒店	行，他家多少钱呀？
thank	好的，太谢谢了，没有问题了。
酒店	你好，能帮我找一家有无烟房的酒店吗？最低价格在500-600元的就可以。
酒店	那我就选北京裕龙国际酒店吧，他家的电话你有吗？
酒店	好的，我记好了，那你知道酒店的周边有餐馆吗？因为我实在是不想在酒店吃饭。
餐馆	那太好了，你帮我找个能做蘑菇、油麦菜的餐馆呗，人均消费是100-150元的就行。
餐馆	啊，那也很不错呀，你知道这个餐馆的周边有没有酒店啊？
酒店	那他家是舒适型的吗？我想在餐馆的周边找这样一个酒店。
酒店	那这家酒店里有酒吧服务吗？
酒店	住，没有就没有吧，把这个酒店的电话给我吧！
景点	行，那一切都安排好了，我得尽情的玩了，你帮我看看哪个景点的游玩时长是在1小时 - 2小时，评分在4.5分以上，而且还是免票的景点啊？
景点	秀水街我还没去过呢，你有这个景点的电话吗？
thank	哦，好的，十分感谢！
酒店	你好，我过几天要去北京出差，给我推荐一个能够提供24小时热水和宽带上网的酒店吧！
酒店	北京京泰龙国际大酒店听说挺不错的，这家酒店的价格如何？
酒店	酒店周边用餐方便吗？有哪些餐馆呢？
景点	好的。周末休息的时候我打算出去转转，大概游玩3小时 - 5小时吧，有没有票价100-150元，评分4分以上的景点呢？
景点	那也行的。慕田峪长城的地址告诉我一下。
景点	这个景点周边有吃饭的地方嘛？
餐馆	好的，谢谢！再帮我找一个餐馆，人均消费50-100元，评分4分以上的。
餐馆	鬼味烤翅在哪？
餐馆	这家店周边有可以玩的景点吗，吃完饭我打算逛一逛。
thank	好的，谢谢您了！
酒店	你好，我要去名叫和颐酒店(北京东直门簋街店)的酒店住宿，能帮我查一下这个酒店周边都有什么餐馆吗？
酒店	好吧，那你知道这个酒店的电话吗？
餐馆	好的，定好酒店我打算在酒店周边找个评分是4.5分以上，人均消费是50-100元的餐馆吃饭，你有什么好的建议吗？
餐馆	那好吧，它家都有什么推荐菜啊？
景点	哇，都是美味啊，我喜欢，吃完饭我要去名叫航空航天博物馆的景点溜达，能帮我看看这个景点周边还有哪些其他景点吗？
出租	不错啊，我想呼叫从小吊梨汤(畅春园店)到航空航天博物馆的出租车，能帮我查一下这个出租的车型和车牌吗？
餐馆	哦了，溜达完我要去名叫闫水饺的餐馆吃饭，可以帮我看看这个餐馆周边都有啥景点吗？
餐馆	哦好吧，这个餐馆通常几点营业啊，我好安排一下吃饭时间。
thank	OK，我清楚了，谢谢你了！
餐馆	你好，麻烦你一下，我想找个评分在4.5分以上的餐馆，人均消费在100-150元的，给推荐一下可以吗？
餐馆	京味斋烤鸭店(劲松店)周边酒店都有哪些呢？
餐馆	好的，能给我京味斋烤鸭店(劲松店)的电话么？
酒店	刚才推荐的酒店哪个是高档型的呢？
酒店	好的，地址在哪里？
thank	好的，非常感谢！
景点	你好，我想要找一个评分高一些的景点游玩，大概在4.5分以上，预算在100-150元左右，
景点	嗯嗯，有的，我想玩半天，就大概3小时 - 4小时的时间，哪个合适一些？
景点	好的，这样我也可以再安排别的活动，您帮我看看附近还有什么别的景点吧。
景点	我还想问一下附近有什么酒店。
酒店	好的，麻烦你再帮我找一下评分4.5分以上的舒适型酒店。
酒店	那您帮我看一下哪家酒店的价格在900-1000元呢？
酒店	好的，再帮我查一下这家酒店是否提供租车服务以及有没有部分房间提供wifi。
酒店	好的好的，这个酒店附近有什么餐馆呢？我看看在附近吃一点。
餐馆	好吧，我还想让你帮我看看附近哪家餐厅更合适呢。这样的话你就帮我找一个有干锅手撕包菜并且人均消费是100-150元的店吧。
餐馆	好的吧，你再帮我看看这家店的评分吧，还有附近还有没有别的餐厅。
餐馆	好的，另外再帮我看看有没有有绿豆凉粉这道菜的饭店吧。
餐馆	好，谢谢你，这个店的电话是多少？我找不到地方的话可以联系一下店家。
餐馆	好的，再给我发一下这个店附近的酒店吧，别的就不需要了。
thank	好的，多谢了。
酒店	你好，我要去名叫北京德宝饭店的酒店住宿，能告诉我一下这个酒店的类型吗？
酒店	哦，它家周边都有啥餐馆呢？
餐馆	真可惜呢，我打算找一个评分是4.5分以上，能做点心和白府宫爆虾的餐馆用餐，给点建议呗！
餐馆	是吗，那你有它家地址吗？
餐馆	收到，餐馆的人均消费是多少呢？
出租	还可以，我想呼叫从北京德宝饭店到白家大院的出租车，帮我查一下这个出租的车型和车牌好吗？
thank	OK，谢谢你！
餐馆	你好，我想带女朋友去一家评分4分以上人均消费50-100元的餐馆吃红烧牛尾这道菜，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的周边有哪些做菜好吃的餐馆啊？
餐馆	餐馆的电话是多少啊？
thank	好的，谢谢你了啊。
景点	你好，我要去景点南海子郊野公园，请帮我查询下这个景点的周边有啥餐馆和酒店？
餐馆	在周边的餐馆里有人均消费在100-150元之间的并且有手切鲜羊肉这道菜的餐馆吗？
餐馆	羊大爷涮肉坊(亮马桥店)的营业时间是几点到几点？附近有啥好玩的地方？
餐馆	好的，再帮我推荐一个人均消费在50-100元之间的餐馆，要评分是5分的。
餐馆	北京胡同烤鸭的营业时间是几点到几点？周边有啥好玩的景点？
酒店	吃完饭我想找一个价位在200-300元之间的酒店，最好评分达到5分的，有推荐的吗？
酒店	7天优品酒店(北京国贸劲松地铁站店)的附近有啥好吃的餐馆？
餐馆	没关系，那就帮我推荐一个评分在4.5分以上的餐馆就行。
餐馆	好，旺顺阁鱼头泡饼店(魏公村店)的推荐菜是什么，周边还有哪些餐馆呢？
thank	好的，谢谢。
酒店	你好，我想去酒店住宿。请帮我找一家最低价格是100-200元，经济型的酒店。
酒店	嗯呢。海友酒店(北京立水桥店)的周边景点都有啥啊？
酒店	恩。请把这家酒店的地址告诉我。
景点	嗯呢。休息好了想去游玩。请帮我找一个票价是20-50元的景点。
景点	嗯嗯。蟒山国家森林公园这个景点的游玩时长是2小时，评分是4.5分以上吗？
景点	恩。还有符合条件的其他景点吗？
景点	嗯呢，好的。圣泉山观音寺这个景点的周边有哪些味道不错的餐馆？
景点	恩。这个景点的电话是多少啊？
餐馆	好的。游玩结束想去吃饭。请帮我找一家人均消费是100-150元，评分是4.5分以上的餐馆。
餐馆	嗯嗯。请问锦府盐帮这家餐馆的电话是啥啊？
景点	好的。吃完饭想去北京古玩城逛逛。这个景点的评分是？
thank	恩，谢谢你啊。
景点	你好，我要和寝室的同学出去旅游，麻烦你帮我们找个评分是5分，门票是不花钱的景点。
景点	这两个景点中哪个的游玩时间是3小时？
景点	好的，就它了，那这个景点的附近有啥可以游玩的地方吗？平时在学校里哪都不让去，好不容易出来一回，怎么的都得多玩一会。
景点	好极了，这个景点的电话是什么？方便给我们吗？
餐馆	好的，我俩都想吃北冰洋汽水这个菜，麻烦你帮我们找个评分是4.5分以上的餐馆。
餐馆	就它家了，它家的人均消费是多少？我俩都是学生，没有太多的钱。
餐馆	太好了，那这个餐馆是在什么位置，我俩安排下路线。
酒店	嗯嗯，记下了，顺便再帮我们找个最低价格是200-300元的酒店，又是吃又是玩的，累了的话就直接找个酒店住下了。
酒店	格林豪泰(北京首都机场航站楼店)的酒店是什么类型的，我很好奇。
thank	嗯呢，好的，非常谢谢你。
thank	你好，帮我推荐一个能玩1个小时的景点，评分在4分以上的，没有门票费的，谢谢。
景点	十三陵水库的周边有哪些餐馆呢？
餐馆	这些餐馆中有评分你在4分以上的餐馆吗？
餐馆	好，巫山烤全鱼的营业时间是几点到几点？餐馆的地址在哪呢？
餐馆	我和同学想找一个人均消费在100-150元之间的餐馆，最好有海带这道菜的餐馆，有推荐的吗？
餐馆	泰火烤肉的地址在哪呢？周边有啥酒店吗？
酒店	好，吃饱喝足晚上我要找一个价格在500-600元之间的酒店休息，最好评分在4分以上的，有推荐的吗？
酒店	好，北京宣武门商务酒店的地址在哪呢？
酒店	这家酒店有无烟房和室内游泳池吗？
地铁	我想从巫山烤全鱼坐地铁到北京宣武门商务酒店，请帮我查询下出发地地铁站和目的地地铁站。
thank	好的，谢谢。
景点	你好，我想出去玩，找一个能玩大概3天的地方。
景点	哦哦，那故宫在哪呢，周边有住处吗？
酒店	在这些酒店当中，给我找一个评分4.5分以上，价格300-400元，能行李寄存的酒店。
酒店	北京天伦王朝酒店是什么类型的酒店呢？
餐馆	好的，晚上吃饭想吃胖头鱼，帮我找一家评分4分以上的餐馆。
餐馆	鱼大厨农家美食城的地址在哪，周边有住的地方吗？
thank	那好吧，谢谢你了。
景点	你好，我想要到广济寺玩，请问大概游玩时间是多少？
景点	附近有什么餐馆么？
酒店	好的，麻烦您帮我找一个提供残疾人设施和健身房的豪华型酒店，
酒店	这家酒店在哪？
酒店	附近有什么景点啊？
thank	好的，多谢您了。
景点	你好，小长假，请帮我找一个可以游玩3天，门票价格100-150元的景点。
景点	摩登家庭农场周边有酒店和其他的景点吗？
酒店	在周边的这些酒店中，能帮我找一个经济型的酒店，有早餐服务，房间有24小时热水的酒店吗？
酒店	格林豪泰酒店北京市首都机场第二店的电话是多少，周边还有餐馆吗？
景点	那在摩登家庭农场周边都景点中有门票150-200元，能游玩0.3小时 - 0.5小时的景点吗？
景点	祈年殿附近有吃饭和住宿的地方吗？
餐馆	好吧，晚上帮我找一个人均消费100-150元的餐馆就行。
餐馆	东来顺(前门大街店)评分怎么样，都有什么特色菜啊？
酒店	晚上再帮我找一个经济型的酒店住宿，最好是4.5分以上，带有商务中心的酒店。
酒店	雅悦酒店(北京西直门店)价格怎么样，地址在哪？
thank	好的，谢谢了。
景点	您好，我想约同学出来玩，想找一个游玩的时长是1小时的景点，求推荐。
景点	就去清华大学吧，评分是多少呢？
餐馆	逛累了想找个地方的吃饭，请帮我推荐一家人均消费是150-500元的、评分是4.5分以上的餐馆吧。
餐馆	好啊，推荐菜有哪些？周边有什么景点吗？
thank	谢谢！没有问题了，就这样吧！再见！
餐馆	你好，可以为我找一个人均消费是500-1000元，评分是4.5分以上的餐馆吗？
餐馆	那就去厉家菜(德胜门店)好了，你知道这里的营业时间吗？
酒店	收到，吃完饭我想找一个评分是4.5分以上，提供收费停车位和商务中心的酒店住宿，给推荐一个好吗？
酒店	可以，这个酒店的价格是多少啊？
thank	哦了，就去这里了，谢谢你啊！
酒店	你好，我想和女朋友找一家有早餐服务的舒适型酒店住宿，给推荐一家吧。
酒店	这家酒店的周边有哪些景点啊？
景点	请在北京都季商旅酒店周边的景点里给我推荐一个评分4分以上门票免费的景点游玩。
景点	这个景点的周边有哪些餐馆啊？
地铁	我要从北京都季商旅酒店乘坐地铁到什刹海，请告诉我出发地和目的地附近的地铁站。
餐馆	嗯，女朋友想去一家评分4分以上的餐馆吃麦乐鸡，请给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的人均消费是多少钱啊？
餐馆	餐馆的地址是在哪里啊？
thank	好的，谢谢你了啊。
酒店	你好，我想找个酒店，要有宽带上网，4分以上就可以。
酒店	北京亚奥国际酒店电话给我一下。
景点	再帮我找一个门票50-100元，游玩时间1小时 - 2小时的景点。
景点	红砖美术馆的地址在哪，电话是多少？
thank	好的，谢谢你了。
景点	您好，我想找一个票价是50-100元的、游玩的时长是1小时 - 2小时的景点，带小朋友去玩玩，有好地方吗？
景点	老爷车博物馆起来不错，这个景点的评分是多少呢？周边有什么其它景点吗？
餐馆	好的。听说最近麦辣鸡翅汉堡挺火的，我想去尝尝，给我推荐一家餐馆吧，人均消费控制在50-100元吧。
餐馆	好啊，地址在哪，评分有多少呀？
thank	好的，谢谢了，没有问题了。
酒店	你好，我带着孩子想去酒店住宿。请帮我找一家评分是4分以上的，有公共区域提供wifi和接站服务的酒店。
酒店	嗯呢。北京贵州大厦的附近有哪些值得游玩的景点吗？
酒店	好的。这家酒店的价格是多少钱啊？
景点	恩。休息好了想去游玩，在北京贵州大厦的周边景点里，哪个的游玩的时长是1小时 - 2小时并且票价是免费的啊？
景点	好的啊。中华女子学院的地址是啥啊？
景点	好。这个景点的评分是几分啊？
景点	嗯呢。游玩结束想去别的景点再游玩下。请帮我找一个评分是4.5分以上，票价是20元以下的景点。
景点	嗯呢。这个景点的附近还有哪些好玩的景点吗？
景点	嗯呢。这个景点的地址是什么啊？
餐馆	恩，游玩结束想带孩子吃点好的。请帮我推荐一家评分是4.5分以上的餐馆。
餐馆	好。六必居(前门店)的电话是多少啊？
thank	嗯呢。谢谢啊。
景点	你好，我跟男朋友想出去游玩，帮我找个游玩的时长是0.5小时 - 1小时的景点。
景点	华夏之光的附近还有别的好玩的吗，出来一趟想多玩几个地方。
景点	嗯，这回可是有的玩了，那它的附近有吃饭的地方吗，出来旅游要玩好吃好。
景点	好的呢，我俩想去华夏之光附近的景点逛逛，哪个景点的票价是免费的。
景点	嗯呢，好的，就它了，这个景点的游玩时间是咋样的？我俩好安排下行程。
景点	清楚了，那这个景点的附近还有啥好玩的吗，我俩好久没有一起出来旅游。
